time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;events;hour;day;month;weekday_code;incident_occurred;pedestrians count_scaled;temperature in ºc_scaled;hour_scaled;day_scaled;month_scaled;weekday_code_scaled
2024-06-13 16:00:00+02:00;Thursday;1883;;;;16;13;6;3;0;0.37096497699625103;;0.6222499421496182;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 17:00:00+02:00;Thursday;2036;;;;17;13;6;3;0;0.4657593211529335;;0.7646243591774706;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 18:00:00+02:00;Thursday;1434;;;;18;13;6;3;0;0.0927776532946142;;0.9069987762053231;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 19:00:00+02:00;Thursday;671;;;;19;13;6;3;0;-0.3799549257351161;;1.0493731932331756;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 20:00:00+02:00;Thursday;333;;;;20;13;6;3;0;-0.589369882107395;;1.191747610261028;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 21:00:00+02:00;Thursday;233;;;;21;13;6;3;0;-0.6513269697915012;;1.3341220272888805;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 22:00:00+02:00;Thursday;188;;;;22;13;6;3;0;-0.679207659249349;;1.4764964443167328;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-13 23:00:00+02:00;Thursday;55;;;;23;13;6;3;0;-0.7616105858692103;;1.6188708613445852;-1.7769682383820427;0.0;-0.2746763438844285
2024-06-14 00:00:00+02:00;Friday;67;;;;0;14;6;4;0;-0.7541757353471175;;-1.655740730296021;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 01:00:00+02:00;Friday;35;;;;1;14;6;4;0;-0.7740020034060314;;-1.5133663132681685;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 02:00:00+02:00;Friday;25;;;;2;14;6;4;0;-0.7801977121744421;;-1.3709918962403163;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 03:00:00+02:00;Friday;15;;;;3;14;6;4;0;-0.7863934209428527;;-1.2286174792124638;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 04:00:00+02:00;Friday;16;;;;4;14;6;4;0;-0.7857738500660116;;-1.0862430621846113;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 05:00:00+02:00;Friday;47;;;;5;14;6;4;0;-0.7665671528839387;;-0.9438686451567588;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 06:00:00+02:00;Friday;82;;;;6;14;6;4;0;-0.7448821721945016;;-0.8014942281289064;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 07:00:00+02:00;Friday;226;;;;7;14;6;4;0;-0.6556639659293887;;-0.6591198111010539;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 08:00:00+02:00;Friday;458;;;;8;14;6;4;0;-0.5119235225022623;;-0.5167453940732014;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 09:00:00+02:00;Friday;893;;;;9;14;6;4;0;-0.24241019107640033;;-0.374370977045349;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 10:00:00+02:00;Friday;1745;;;;10;14;6;4;0;0.2854641959921845;;-0.23199656001749655;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 11:00:00+02:00;Friday;2231;;;;11;14;6;4;0;0.5865756421369406;;-0.08962214298964409;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 12:00:00+02:00;Friday;2681;;;;12;14;6;4;0;0.8653825367154184;;0.052752274038208355;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 13:00:00+02:00;Friday;2321;;;;13;14;6;4;0;0.6423370210526361;;0.19512669106606081;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 14:00:00+02:00;Friday;2380;;;;14;14;6;4;0;0.6788917027862588;;0.33750110809391326;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 15:00:00+02:00;Friday;2560;;;;15;14;6;4;0;0.79041446061765;;0.47987552512176573;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 16:00:00+02:00;Friday;2502;;;;16;14;6;4;0;0.7544793497608684;;0.6222499421496182;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 17:00:00+02:00;Friday;2258;;;;17;14;6;4;0;0.6033040558116493;;0.7646243591774706;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 18:00:00+02:00;Friday;1920;;;;18;14;6;4;0;0.3938890994393703;;0.9069987762053231;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 19:00:00+02:00;Friday;1028;;;;19;14;6;4;0;-0.15876812270285695;;1.0493731932331756;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 20:00:00+02:00;Friday;479;;;;20;14;6;4;0;-0.4989125340886;;1.191747610261028;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 21:00:00+02:00;Friday;336;;;;21;14;6;4;0;-0.5875111694768719;;1.3341220272888805;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 22:00:00+02:00;Friday;260;;;;22;14;6;4;0;-0.6345985561167925;;1.4764964443167328;-1.4473163331093948;0.0;0.23601819178217565
2024-06-14 23:00:00+02:00;Friday;243;;;;23;14;6;4;0;-0.6451312610230906;;1.6188708613445852;-1.4473163331093948;0.0;0.23601819178217565
2024-06-15 00:00:00+02:00;Saturday;133;;;;0;15;6;5;0;-0.7132840574756074;;-1.655740730296021;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 01:00:00+02:00;Saturday;82;;;;1;15;6;5;0;-0.7448821721945016;;-1.5133663132681685;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 02:00:00+02:00;Saturday;65;;;;2;15;6;5;0;-0.7554148771007996;;-1.3709918962403163;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 03:00:00+02:00;Saturday;74;;;;3;15;6;5;0;-0.74983873920923;;-1.2286174792124638;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 04:00:00+02:00;Saturday;21;;;;4;15;6;5;0;-0.7826759956818063;;-1.0862430621846113;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 05:00:00+02:00;Saturday;30;;;;5;15;6;5;0;-0.7770998577902368;;-0.9438686451567588;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 06:00:00+02:00;Saturday;38;;;;6;15;6;5;0;-0.7721432907755083;;-0.8014942281289064;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 07:00:00+02:00;Saturday;54;;;;7;15;6;5;0;-0.7622301567460513;;-0.6591198111010539;-1.117664427836747;0.0;0.7467127274487798
